Accident_Index,Vehicle_Type
201506F097871,9
201506F097871,9
201506F097979,9
201506F097979,9
201506F098074,9
201506F098074,9
201506F098074,9
201506F098139,9
201506F098139,9
201506F098152,8
201506F098231,90
201506F098286,1
201506F098286,9
201506F098387,9
201506F098387,9
201506F098421,9
201506F098461,11
201506F098461,9
201506F098648,9
201506F098702,9
201506F098702,9
201506F098702,9
201506F098702,9
201506F098769,9
201506F098769,9
201506F098846,9
201506F098993,21
201506F099064,90
201506F099064,3
201506F099082,9
201506F099082,8
201506F099308,9
201506F099308,1
201506F099308,9
201506F099350,9
201506F099350,9
201506F099350,9
201506F099440,9
201506F099673,9
201506F099689,9
201506F099689,5
201506F099764,9
201506F099764,1
201506F099764,3
201506F099826,9
201506F099826,1
201506F099827,9
201506F099830,9
201506F099830,9
201506F099856,90
201506F099856,1
201506F099941,5
201506F099961,9
201506FA00346,9
201506FA01189,9
201506FA01189,9
201506FA02564,9
201506FA05643,9
201506FA05643,8
201506G000124,9
201506G000124,1
201506G000154,9
201506G000284,9
201506G000284,9
201506G000439,9
201506G000439,9
201506G000439,9
201506G000530,9
201506G000530,4
201506G000582,9
201506G000582,9
201506G000594,9
201506G000594,9
201506G000594,9
201506G000702,9
201506G000702,9
201506G000764,9
201506G000764,9
201506G000843,9
201506G000843,3
201506G000858,9
201506G000958,9
201506G001050,9
201506G001183,9
201506G001183,9
201506G001229,9
201506G001229,5
201506G001257,9
201506G001257,9
201506G001268,9
201506G001268,3
201506G001274,8
201506G001284,9
201506G001284,1
201506G001286,9
201506G001286,3
201506G001293,9
201506G001482,9
201506G001492,9
201506G001492,8
201506G001492,9
201506G001615,9
201506G001615,9
201506G001780,9
201506G001780,9
201506G001859,9
201506G001859,9
201506G001859,9
201506G001933,9
201506G001933,21
201506G001942,8
201506G002114,9
201506G002114,3
201506G002170,9
201506G002275,9
201506G002275,5
201506G002277,3
201506G002277,9
201506G002278,9
201506G002284,9
201506G002284,19
201506G002284,19
201506G002293,9
201506G002293,9
201506G002293,9
201506G002293,9
201506G002306,9
201506G002334,19
201506G002334,19
201506G002346,9
201506G002346,5
201506G002394,9
201506G002394,3
201506G002554,1
201506G002554,9
201506G002624,9
201506G002624,1
201506G002661,9
201506G002683,9
201506G002683,9
201506G002683,9
201506G002715,1
201506G002715,9
201506G002767,3
201506G002767,9
201506G002897,9
201506G002956,5
201506G002956,9
201506G003080,9
201506G003080,5
201506G003088,9
201506G003088,21
201506G003096,9
201506G003096,9
201506G003097,9
201506G003097,8
201506G003108,9
201506G003108,18
201506G003116,19
201506G003116,9
201506G003116,9
201506G003125,3
201506G003125,9
201506G003215,9
201506G003215,9
201506G003215,9
201506G003533,9
201506G003535,9
201506G003535,1
201506G003575,9
201506G003575,9
201506G003583,9
201506G003583,9
201506G003616,9
201506G003616,9
201506G003630,9
201506G003630,9
201506G003632,3
201506G003632,90
201506G003704,9
201506G003704,9
201506G003769,9
201506G003769,3
201506G003770,9
201506G003814,9
201506G003814,9
201506G003816,9
201506G003816,9
201506G003816,9
201506G003844,9
201506G003844,9
201506G003858,9
201506G003858,9
201506G003866,9
201506G003866,9
201506G003866,9
201506G003924,9
201506G003924,9
201506G003965,19
201506G003965,9
201506G004050,9
201506G004217,9
201506G004287,1
201506G004287,9
201506G004371,9
201506G004371,9
201506G004383,9
201506G004383,9
201506G004449,3
201506G004449,9
201506G004468,8
201506G004553,9
201506G004553,8
201506G004611,9
201506G004611,9
201506G004654,9
201506G004654,9
201506G004710,3
201506G004710,9
201506G004716,9
201506G004716,9
201506G004736,9
201506G004775,3
201506G004775,9
201506G004860,9
201506G004860,9
201506G004860,9
201506G004863,19
201506G004863,1
201506G004957,9
201506G005005,9
201506G005005,9
201506G005005,9
201506G005005,9
201506G005005,9
201506G005122,3
201506G005122,9
201506G005168,1
201506G005168,9
201506G005203,9
201506G005203,8
201506G005368,9
201506G005368,9
201506G005505,90
201506G005505,9
201506G005558,9
201506G005558,9
201506G005701,9
201506G005701,9
201506G005960,9
201506G005960,9
201506G006015,90
201506G006015,9
201506G006015,9
201506G006084,9
201506G006084,9
201506G006114,9
201506G006114,4
201506G006186,9
201506G006193,1
201506G006193,9
201506G006212,9
201506G006303,9
201506G006324,9
201506G006324,9
201506G006464,5
201506G006464,9
201506G006464,9
201506G006563,9
201506G006563,9
201506G006575,5
201506G006575,9
201506G006589,9
201506G006589,3
201506G006592,21
201506G006638,9
201506G006643,9
201506G006651,9
201506G006651,1
201506G006660,9
201506G006660,9
201506G006678,9
201506G006678,2
201506G006683,9
201506G006683,19
201506G006798,1
201506G006798,9
201506G006813,9
201506G006813,3
201506G006818,9
201506G006818,9
201506G006827,9
201506G006846,9
201506G006861,9
201506G006861,9
201506G006901,19
201506G006901,9
201506G006901,19
201506G006904,9
201506G006911,9
201506G006911,9
201506G007166,9
201506G007166,9
201506G007196,9
201506G007196,11
201506G007253,9
201506G007400,90
201506G007400,9
201506G007457,9
201506G007685,19
201506G007685,3
201506G007747,9
201506G007855,9
201506G007924,9
201506G007924,9
201506G008093,9
201506G008093,3
201506G008143,19
201506G008143,9
201506G008143,9
201506G008172,9
201506G008172,9
201506G008177,9
201506G008177,1
201506G008271,9
201506G008271,19
201506G008276,9
201506G008276,9
201506G008323,21
201506G008548,9
201506G008548,9
201506G008595,9
201506G008595,3
201506G008887,9
201506G008902,9
201506G008902,9
201506G008997,21
201506G008997,9
201506G009093,9
201506G009214,9
201506G009214,1
201506G009214,9
201506G009229,9
201506G009279,9
201506G009279,9
201506G009279,9
201506G009363,9
201506G009582,9
201506G009582,9
201506G009813,9
201506G009813,9
201506G009915,9
201506G009915,3
201506G010236,9
201506G010451,9
201506G010451,1
201506G010452,9
201506G010452,9
201506G010455,9
201506G010455,1
201506G095695,9
201506G095695,9
201506G096048,9
201506G096048,9
201506G096273,9
201506G096273,9
201506G096332,9
201506G096332,11
201506G096498,9
201506G096498,9
201506G096499,8
201506G096499,9
201506G096576,9
201506G096576,9
201506G096602,9
201506G096654,9
201506G096654,9
201506G096654,90
201506G096713,19
201506G096713,9
201506G096737,1
201506G096737,9
201506G096776,9
201506G096776,9
201506G097087,9
201506G097190,9
201506G097190,9
201506G097190,9
201506G097226,9
201506G097226,9
201506G097242,9
201506G097242,9
201506G097270,19
201506G097270,2
201506G097304,9
201506G097304,9
201506G097337,19
201506G097337,9
201506G097382,9
201506G097382,9
201506G097443,9
201506G097443,9
201506G097444,9
201506G097444,19
201506G097497,2
201506G097497,19
201506G097523,9
201506G097523,1
201506G097541,9
201506G097541,19
201506G097541,9
201506G097541,9
201506G097550,9
201506G097550,9
201506G097552,9
201506G097552,5
201506G097765,9
201506G097765,1
201506G097908,9
201506G097908,9
201506G098092,9
201506G098142,9
201506G098142,3
201506G098149,9
201506G098149,9
201506G098159,9
201506G098159,8
201506G098164,9
201506G098164,9
201506G098178,9
201506G098178,9
201506G098246,9
201506G098259,9
201506G098295,9
201506G098508,21
201506G098508,90
201506G098551,9
201506G098551,1
201506G098567,9
201506G098567,9
201506G098638,9
201506G098638,9
201506G098638,9
201506G098713,19
201506G098716,9
201506G098716,1
201506G098747,9
201506G098747,9
201506G098752,9
201506G098983,9
201506G098983,5
201506G098983,9
201506G099010,5
201506G099023,11
201506G099096,9
201506G099096,9
201506G099097,9
201506G099097,9
201506G099147,9
201506G099147,9
201506G099261,19
201506G099312,9
201506G099312,5
201506G099314,9
201506G099314,9
201506G099397,1
201506G099397,9
201506G099568,9
201506G099568,5
201506G099568,9
201506G099616,9
201506G099677,9
201506G099677,9
201506G099677,9
201506G099714,1
201506G099714,9
201506G099844,9
201506G099844,8
201506G099844,9
201506G099921,21
201506G099921,9
201506J000070,9
201506J000070,9
201506J000190,9
201506J000190,9
201506J000194,9
201506J000194,9
201506J000316,9
201506J000316,1
201506J000644,9
201506J000644,9
201506J000683,9
201506J000683,9
201506J000752,9
201506J000752,19
201506J000752,21
201506J000878,9
201506J000878,9
201506J000948,9
201506J000951,9
201506J000951,9
201506J001024,9
201506J001024,9
201506J001072,9
201506J001159,9
201506J001159,5
201506J001161,9
201506J001161,9
201506J001161,9
201506J001205,9
201506J001205,4
201506J001210,9
201506J001210,9
201506J001288,9
201506J001288,1
201506J001326,9
201506J001326,9
201506J001364,9
201506J001364,1
201506J001495,9
201506J001540,9
201506J001540,9
201506J001555,9
201506J001555,20
201506J001561,9
201506J001689,9
201506J001689,9
201506J001689,9
201506J001789,9
201506J001789,1
201506J001855,5
201506J001855,9
201506J001857,9
201506J001857,8
201506J002047,9
201506J002047,1
201506J002050,9
201506J002073,9
201506J002073,9
201506J002073,11
201506J002176,9
201506J002176,5
201506J002195,9
201506J002195,8
201506J002206,9
201506J002206,9
201506J002206,9
201506J002339,9
201506J002356,9
201506J002356,9
201506J002356,9
201506J002356,9
201506J002369,9
201506J002369,9
201506J002369,9
201506J002386,1
201506J002386,9
201506J002445,9
201506J002445,9
201506J002451,9
201506J002451,1
201506J002453,5
201506J002453,9
201506J002460,9
201506J002500,1
201506J002500,9
201506J002562,9
201506J002562,5
201506J002562,9
201506J002736,9
201506J002762,9
201506J002762,9
201506J002778,9
201506J002782,9
201506J002782,9
201506J002782,9
201506J003149,9
201506J003149,1
201506J003165,9
201506J003165,1
201506J003178,21
